Date,BCFF11,BBPO11,HGLG11,ITSA4,TRPL4,TAEE4,BBAS3,HSML11,Total,Valor Aplicado
2020-04-17,2367.3001098632812,2588.7601318359375,356.0,2248.4400844573975,879.0600280761719,0.0,0.0,0.0,8439.560354232788,8498.259999999998
2020-04-20,2367.3001098632812,2583.0,354.0,2206.620065689087,871.7000350952148,0.0,0.0,0.0,8382.620210647583,8498.259999999998
2020-04-22,2367.3001098632812,2592.0,359.9800109863281,2204.1600093841553,900.6799964904785,0.0,0.0,0.0,8424.120126724243,8498.259999999998
2020-04-23,2367.3001098632812,2610.0,363.9599914550781,2174.640037536621,906.6599578857422,0.0,0.0,0.0,8422.560096740723,8498.259999999998
2020-04-24,2367.3001098632812,2574.179901123047,354.20001220703125,2066.3999061584473,863.8800315856934,0.0,0.0,0.0,8225.9599609375,8498.259999999998
2020-04-27,2367.3001098632812,2592.0,352.29998779296875,2132.8200187683105,881.359992980957,0.0,0.0,0.0,8325.780109405518,8498.259999999998
2020-04-28,2367.3001098632812,2673.0,354.3999938964844,2282.879934310913,895.6199684143066,0.0,0.0,0.0,8573.200006484985,8498.259999999998
2020-04-29,2367.3001098632812,2754.0,353.760009765625,2277.9600563049316,893.3200035095215,0.0,0.0,0.0,8646.34017944336,8498.259999999998
2020-04-30,2367.3001098632812,2737.980010986328,346.0,2214.0,893.7800140380859,0.0,0.0,0.0,8559.060134887695,8498.259999999998
2020-05-04,2367.3001098632812,2689.7398681640625,335.9800109863281,2140.1999530792236,874.0,0.0,0.0,0.0,8407.219942092896,8498.259999999998
2020-05-05,2367.3001098632812,2709.0,330.0400085449219,2191.859962463379,876.7599754333496,0.0,0.0,0.0,8474.960056304932,8498.259999999998
2020-05-06,2367.3001098632812,2700.0,332.0,2140.1999530792236,871.2400245666504,0.0,0.0,0.0,8410.740087509155,8498.259999999998
2020-05-07,2367.3001098632812,2700.0,331.1000061035156,2039.3399906158447,867.1000175476074,0.0,0.0,0.0,8304.840124130249,8498.259999999998
2020-05-08,2367.3001098632812,2698.3800659179688,339.5799865722656,2088.5399436950684,883.6599578857422,0.0,0.0,0.0,8377.460063934326,8498.259999999998
2020-05-11,2367.3001098632812,2694.0599670410156,347.7799987792969,2913.320026397705,0.0,1008.9000434875488,0.0,0.0,9331.360145568848,9496.779999999997
2020-05-12,2367.3001098632812,2694.4200439453125,351.6000061035156,2830.2801055908203,0.0,996.3599739074707,0.0,0.0,9239.9602394104,9496.779999999997
2020-05-13,2367.3001098632812,2692.2601318359375,347.4200134277344,2844.120092391968,0.0,1012.3200130462646,306.59999084472656,0.0,9570.020351409912,9803.379999999997
2020-05-14,2367.3001098632812,2693.340087890625,347.79998779296875,2947.9201583862305,0.0,1021.4400043487549,319.7999954223633,0.0,9697.600343704224,9803.379999999997
2020-05-15,2367.3001098632812,2696.4000549316406,348.94000244140625,2816.440118789673,0.0,1031.7000217437744,313.7999954223633,0.0,9574.580303192139,9803.379999999997
2020-05-18,2367.3001098632812,2696.4000549316406,350.3999938964844,2954.8399868011475,0.0,1064.7600173950195,328.7999954223633,0.0,9762.500158309937,9803.379999999997
2020-05-19,2367.3001098632812,2698.1998901367188,353.32000732421875,2851.0399208068848,0.0,1059.0599956512451,319.9199981689453,0.0,9648.839921951294,9803.379999999997
2020-05-20,2367.3001098632812,2698.1998901367188,353.9599914550781,2854.5,0.0,1033.979965209961,327.95999908447266,0.0,9635.899955749512,9803.379999999997
2020-05-21,2367.3001098632812,2698.1998901367188,350.20001220703125,3006.739854812622,0.0,1070.460039138794,351.12000274658203,0.0,9844.01990890503,9803.379999999997
2020-05-22,2367.3001098632812,2746.8001098632812,358.1000061035156,3065.559881210327,0.0,1061.3400478363037,342.12000274658203,0.0,9941.220157623291,9803.379999999997
2020-05-25,2367.3001098632812,2754.0,360.3999938964844,3197.0399208068848,0.0,1072.7399826049805,378.0,0.0,10129.48000717163,9803.379999999997
2020-05-26,2367.3001098632812,2775.9600219726562,361.5,3086.320026397705,0.0,1076.1599521636963,3448.4801025390625,0.0,13115.720212936401,12859.379999999997
2020-05-27,2367.3001098632812,2777.0399780273438,355.94000244140625,3152.059881210327,0.0,1090.979965209961,3460.7999572753906,0.0,13204.11989402771,12859.379999999997
2020-05-28,2367.3001098632812,2802.5999450683594,362.0,3114.0,0.0,1081.8599739074707,3448.4801025390625,0.0,13176.240131378174,12859.379999999997
2020-05-29,2367.3001098632812,2836.8001098632812,363.8999938964844,3065.559881210327,0.0,1089.8400478363037,3454.0800170898438,0.0,13177.480159759521,12859.379999999997
2020-06-01,2367.3001098632812,2842.7398681640625,366.79998779296875,3138.2198944091797,0.0,1118.3400478363037,3561.5999145507812,0.0,13394.999822616577,12859.379999999997
2020-06-02,2367.3001098632812,2871.0,376.6199951171875,3300.8399868011475,0.0,1109.2199478149414,3675.8399658203125,0.0,13700.82000541687,12859.379999999997
2020-06-03,2367.3001098632812,2865.5999450683594,374.760009765625,3394.260145187378,0.0,1098.960039138794,3892.0,0.0,13992.880249023438,12859.379999999997
2020-06-04,2367.3001098632812,2866.5,374.6000061035156,3432.320026397705,0.0,1076.1599521636963,4926.539806365967,0.0,15043.419900894165,13862.199999999997
2020-06-05,2367.3001098632812,2867.4000549316406,385.20001220703125,3473.8399868011475,0.0,1103.520034790039,4963.200107574463,0.0,15160.460306167603,13862.199999999997
2020-06-08,2367.3001098632812,2878.1998901367188,381.0,3598.3998680114746,0.0,1840.859956741333,8588.039855957031,0.0,19653.79968070984,18078.55
2020-06-09,2367.3001098632812,2863.2601318359375,381.6000061035156,3584.559881210327,0.0,1814.4000720977783,8446.440216064453,0.0,19457.560417175293,18078.55
2020-06-10,2367.3001098632812,2862.0,378.55999755859375,3470.379907608032,0.0,1833.2999639511108,8073.559783935547,0.0,18985.099762916565,18078.55
2020-06-12,2367.3001098632812,2830.860076904297,377.2200012207031,3387.3399868011475,0.0,1814.4000720977783,7870.599639892578,0.0,18647.719886779785,18078.55
2020-06-15,2367.3001098632812,2861.4600219726562,378.739990234375,3307.760145187378,0.0,1795.5,7804.519927978516,0.0,18515.280195236206,18078.55
2020-06-16,2367.3001098632812,2862.0,378.0,3376.9600791931152,0.0,1797.390043258667,7906.0,0.0,18687.650232315063,18078.55
2020-06-17,2446.2101135253906,2878.1998901367188,378.8599853515625,3435.7801055908203,0.0,1850.3099927902222,8142.0,0.0,19131.360087394714,18169.53
2020-06-18,2446.2101135253906,2878.9200439453125,381.8999938964844,3546.5,0.0,1827.6300144195557,8875.200393676758,0.0,19956.3605594635,18934.25
2020-06-19,2446.2101135253906,2887.9200439453125,383.05999755859375,3601.85994720459,0.0,1852.2000360488892,8756.519645690918,0.0,19927.769783973694,18934.25
2020-06-22,2446.2101135253906,2933.820098876953,376.1600036621094,3511.8998680114746,0.0,1829.5200576782227,8575.920433044434,0.0,19673.530574798584,18934.25
2020-06-23,2446.2101135253906,2933.820098876953,374.6400146484375,3480.760145187378,0.0,1806.8400793075562,8650.739685058594,0.0,19693.01013660431,18934.25
2020-06-24,2446.2101135253906,2918.6998901367188,374.1400146484375,3380.4201583862305,0.0,1786.0499639511108,8312.760314941406,0.0,19218.280455589294,18934.25
2020-06-25,2446.2101135253906,2934.0,376.0,3446.1600131988525,0.0,1789.8300504684448,8516.579566955566,0.0,19508.779744148254,18934.25
2020-06-26,2446.2101135253906,2940.840087890625,378.0,3342.35994720459,0.0,1784.1599206924438,8209.559921264648,0.0,19101.129990577698,18934.25
